397|Customized education for supporting, informing and empowering rape victims|An education system for the sexual assault center to inform victim's about their options, make knowledgeable decisions and facilitate conversations that are many times difficult to have.|January 02, 2013|Manuela Aguirre|Smallholder Plantations Entrepreneurship Development Programme ( IFAD Funded Project)|http://www.hcdconnect.org/profiles/manuela-aguirre/|Oslo, Norway|Gender Equity;Education;Health;Community Development
398|nyanzabijou. Professional employment in the craft sector.|The project is focused to improve local manufacturing skills of the craftswomen and their lifes.I am product designer and project manager for Agatako Rwanda cooperative of Kigali.|January 03, 2013|Alice Cappelli|Freelancer, University, Club, Associations...|http://www.hcdconnect.org/profiles/alice-cappelli/|Gauteng, South Africa|Community Development
399|Learning by Design|"Learning by Design is a non-profit in Boston that asked us to ""fix their fundraising strategy""."|January 03, 2013|Benoit Delpierre|Boston University|http://www.hcdconnect.org/profiles/benoit-delpierre/|Berkeley, CA|Education
400|Building a Secondary School in Malawi|The plight of Malawian children sentenced to impoverished lives due to lack of education can no longer go unanswered.Moyo Academy has answered this call by beginning construction of a world-class school in the village ofNkhota-kota, Malawi.|January 03, 2013|Sarah Amani|NHS|http://www.hcdconnect.org/profiles/sarah-amani/|Gauteng, South Africa|Education
401|Elev8-ing Health Education for Middle School Students|Elev8 Baltimore seeks to ensure that area middle school students can make smart and healthy choices!|January 03, 2013|Andrew Daub|Johns Hopkins Bloomberg School of Public Health|http://www.hcdconnect.org/profiles/andrew-daub/|Berkeley, CA|Education;Health
402|Digital Stories Engage Men Against HIV and GBV|Sonke Gender Justice's Digital Stories program empowers individuals to use media to share their stories and focus on engaging men in the fight against HIV and gender-based violence (GBV).|January 03, 2013|Andrew Daub|Johns Hopkins Bloomberg School of Public Health|http://www.hcdconnect.org/profiles/andrew-daub/|Gauteng, South Africa|Gender Equity;Health
403|Design for Disaster -  Flood information notification system|Human use the App early know the flood coming.|January 03, 2013|Yu-Ching Li|Nottingham Trent University|http://www.hcdconnect.org/profiles/yu-ching-li/|Wolverton, United Kingdom|Environment;Community Development;Water;Financial Services
404|Playtime in Africa: teaming up with the Ghanaians|The Playtime in Africa initiative aims to createan outdoor child-focused space for kids to learn through play in Accra, Ghana.|January 03, 2013|Maria Isabel Reis Oschery|Delft University of Technology (TU Delft)|http://www.hcdconnect.org/profiles/maria isabel-oschery/|Gauteng, South Africa|Community Development;Education
405|Making visible Afro Women from the colombian Caribbean region- REMA|Communication tools can help community development|January 03, 2013|Mary Nieto Ariza|Aprodefa|http://www.hcdconnect.org/profiles/mary-nieto ariza/|Sao Paulo - So Paulo, Brazil|Gender Equity;Education;Community Development
406|Creating an afterschool cooking and enrichment program for urban youth|Our project set out to determine if there is a market for an afterschool cooking and enrichment program for urban, middle school students. We defined our customer and how best to add value through individual interviews based on a thoughtful interview protocol.|January 03, 2013|Stephanie Milbergs|Gerson Lehrman Group and Bainbridge Graduate Institute|http://www.hcdconnect.org/profiles/stephanie-milbergs/|Berkeley, CA|Education;Health
407|Design Green Infrastructure in West Oakland|&#13;|January 03, 2013|marisha farnsworth|Gerson Lehrman Group and Bainbridge Graduate Institute|http://www.hcdconnect.org/profiles/marisha-farnsworth/|Berkeley, CA|Environment;Community Development;Health
408|Forays in Drying|There is much more art to the process of drying feedstock and/or briquettes than we had first anticipated. After some false starts, we had the chance to better define our design question and launch the design process.|January 04, 2013|Kevin Kung|Massachusetts Institute of Technology|http://www.hcdconnect.org/profiles/kevin-kung/|Rumuruti, Rift Valley, Kenya|Environment;Community Development;Energy;Health;Agriculture
409|Increasing Free Access to Education and Professional Development for Russia and CIS|"&#13;
&#13;"|January 04, 2013|Svetlana Gavrilova|STUDY INDEPENDENT|http://www.hcdconnect.org/profiles/svetlana-gavrilova/|Wolverton, United Kingdom|Community Development;Education;Gender Equity
410|RMIM System for Donor funded short term emergency/recovery projects in Sri Lanka (Period Covered: 2010-2011)|AbstractThe Result Monitoring and Information Management (RMIM) is an initiative system that has defined, promoted and supported a common approach to monitoring recovery and relief efforts and assessing their impacts in short term emergency projects in Sri Lanka. Post conflict recovery represents both a humanitarian imperative and an opportunity for accelerated development. RMIM initiative arose out of the recognition that most of the recovery programmes are developed to replace the lost assets or seeds for planting or chicks or livestocks for rearing and tracking the input level activity from planning, procurement, quality assurance, delivering at field sites, temporary storage if appropriate and finally handed over to the beneficiaries for their use by which an enabling environment to build back better. It provides opportunity for learning from the experiences in order to get things right in the future as well as influence future capacity development actions of the project team and use of beneficiary perspectives to triangulate and better understand how affected people view the quality and relevance of the recovery assistance. RMIM initiative also face the common challenges, including how to collect the data and assure its quality; how to present data in a way that decision makers can use; question about who owns the system and how it should be sustained. More fundamentally the RMIM needed to be improvised and designed at the time of project formulation and perhaps an investment in the a recovery monitoring system for small projects with short project durations six to eighteen|January 04, 2013|Chandana J. Hewawasam|Smallholder Plantations Entrepreneurship Development Programme ( IFAD Funded Project)|http://www.hcdconnect.org/profiles/chandana-hewawasam/|Hanoi, Vietnam|Gender Equity;Agriculture;Community Development
411|Handmade shoes and sandals with stories to tell.|Looking to the future we wanted to make the best out of their past  walking in a very delicate line between tradition and modernity.|January 04, 2013|Paula Dib|Trans.Forma Design|http://www.hcdconnect.org/profiles/paula-dib/|Sao Paulo - So Paulo, Brazil|Community Development
412|"Presidio: Getting a ""list of challenges"" was challenging"|Cultural differences significantly affect communication, even when the language barrier is fairly low.|January 06, 2013|Lily Laurence|Presidio Graduate School|http://www.hcdconnect.org/profiles/lily-laurence/|Bali, Indonesia|Environment;Community Development;Education;Agriculture
413|Presidio: Waste and Recycling in Bali|"""There is no away in throw away"" We're a group of students from Presidio Graduate School and are using HCD while in Bali to identify opportunities to increase the awareness and responsibility for proper waste management."|January 06, 2013|Sarah Vared|Presidio Graduate School|http://www.hcdconnect.org/profiles/sarah-vared/|Bali, Indonesia|Environment;Community Development;Education
414|Presidio: An Ecotourism Model in Bali, Indonesia|Using HCD to address challenges related to an ecotourism cooperative in Bali.|January 06, 2013|Vanessa Roscoe|Presidio Graduate School|http://www.hcdconnect.org/profiles/vanessa-roscoe/|Kuta, Bali, Indonesia|Environment;Community Development;Education;Agriculture
415|Hear phase: individual interviews|Interviews with restaurants and hotels in Sanur|January 06, 2013|Sarah Vared|Presidio Graduate School|http://www.hcdconnect.org/profiles/sarah-vared/|Bali, Indonesia|Environment;Community Development;Education
416|On a mission to close a gap between UNHCR and refugees|How it all began and where the project stands now.|January 06, 2013|Jessica Dittmar|Stanford University|http://www.hcdconnect.org/profiles/jessica-dittmar/|Palo Alto, CA|Environment;Community Development;Education;Health
417|The usefulness of exploring analogous situations|A deep dive into exploring relevant analogous situations.|January 06, 2013|Jessica Dittmar|Stanford University|http://www.hcdconnect.org/profiles/jessica-dittmar/|Palo Alto, CA|Environment;Community Development;Education;Health
418|The Walk of Stars:  Cultivating and Empowering Local Leadership|Inspired by the past; building on the present; creating a future. A fun, high-tech, interactive space that cultivates and empowers community leaders in an affordable housing development.|January 06, 2013|Jake Cummings|Harvard University Graduate School of Design|http://www.hcdconnect.org/profiles/jake-cummings/|Berkeley, CA|Community Development;Education
419|Mending a broken High Street: Community engagement and design workshops in Kentish Town|The Neighbourhood Planning workshops in Kentish Town aimed to address a High Street dominated by prospering chain stores and failing independent shops, a notable lack of local public and green spaces, and massive traffic congestion, amongother local issues.|January 07, 2013|Samantha Irvine|CLEAR VILLAGE|http://www.hcdconnect.org/profiles/samantha-irvine/|United Kingdom|Community Development
420|Presidio: Tri Hita Karana Bali: Permaculture to Save a Disappearing Culture|For our project, were working with Tri Hita Karana Bali, an organization dedicated to preserving Balinese culture through teaching and supporting permaculture in various ways, with a primary focus on preserving the lifestyle of farmers and organic farming practices.|January 07, 2013|Morgan Matthews|CLEAR VILLAGE|http://www.hcdconnect.org/profiles/morgan-matthews/|Bali, Indonesia|Environment;Community Development;Education;Agriculture
421|Presidio: Trust the Process. Namaste from Bali.|The team working with WOW Bali spends two days in the field, and begins the ideation process...|January 07, 2013|Danielle Ginach|Presidio Graduate School|http://www.hcdconnect.org/profiles/danielle-ginach-0/|Ubud, Bali, Indonesia|Environment;Education;Agriculture
422|Participatory Co Design in Cerro Verde, Lima.|Co creating a washer and a dryer with the women of Cerro Verde in Lima.|January 07, 2013|Mariana Prieto|Freelance / Entrepreneur|http://www.hcdconnect.org/profiles/mariana-prieto/|Sao Paulo - So Paulo, Brazil|Water;Energy
423|Presidio Graduate School: Understanding The Waste Situation In Bali|After touring legal and illegal waste disposal sites in Sanur, Denpasar, and Ubud, it is clear that an innovative approach is needed to educate villagers on the end of life of their waste.|January 07, 2013|Clay Carlson|Freelance / Entrepreneur|http://www.hcdconnect.org/profiles/clay-carlson/|Bali, Indonesia|Environment;Health
424|Wait, we're interviewing?!|Day 1 interviews and project partner download|January 08, 2013|Morgan Matthews|Freelance / Entrepreneur|http://www.hcdconnect.org/profiles/morgan-matthews/|Ubud, Bali, Indonesia|Environment;Community Development;Education;Agriculture
425|Pivot: Empowering Trafficked Victims|Pivot provides rescue information to female human trafficking victims without detection by their captors.|January 08, 2013|Mike Fretto|UW|http://www.hcdconnect.org/profiles/mike-fretto/|Berkeley, CA|Gender Equity;Education
426|Re-thinking Student Engagement Strategies|Every 26 seconds a student drops out of high school in the U.S.Why?|January 08, 2013|Hannah Johnson|Roadtrip Nation|http://www.hcdconnect.org/profiles/hannah-johnson/|Berkeley, CA|Education
427|Presidio: Staying overnight in a Balinese Village, Hearing research in the field|Spike and I visit a rural Balinese village for the night, learn about Bali life, and try out some HCD Hear methods. Is what were doing an Expert Interview or an In Context Immersion? How do we balance being simply genuine and organic in our conversation, with asking questions that will help inform the design challenge?|January 09, 2013|Lily Laurence|Presidio Graduate School|http://www.hcdconnect.org/profiles/lily-laurence/|Kuta, Bali, Indonesia|Environment;Community Development;Education;Agriculture
428|Presidio: Eat, Pray, Leave - Context Immersion in Ubud, or Meditations in Fairy Dust|Research or vacation? Spending a day in Bail's mainstream tourist circuit, trying my best to observe without interpreting in order to better understand Bali's tourism industry.|January 09, 2013|Danielle Ginach|Presidio Graduate School|http://www.hcdconnect.org/profiles/danielle-ginach-0/|Ubud, Bali, Indonesia|Environment;Community Development
429|The Farmers Introduce themselves: Mr. Ketut's Wild Ride|Today we met many Ketuts and toured the gamut of a farming village from an outside meeting hut of the biogas association to a prestigious flower farm. We saw and learned a lot about the main operations of the groups thanks to the off-road skills of our driver and the enthusiasm of our interviewees.|January 09, 2013|Stephanie Ciancio|Presidio Graduate School, International Sustainability Club|http://www.hcdconnect.org/profiles/stephanie-ciancio/|Ubud, Bali, Indonesia|Water;Community Development;Agriculture
430|Presidio: Getting Back to Organic Living|Our Presidio International Sustainability Club project on findingnew ways to make organic farming available and affordable for more people in Bali.|January 09, 2013|Ayaka Emoto|Presidio Graduate School|http://www.hcdconnect.org/profiles/Ayaka/|Ubud, Bali, Indonesia|Education;Agriculture
431|Improving essential oil quality through more efficient condensation|A simple solution to increase essential oil quality and quantity through more efficient condensation.|January 09, 2013|Ravi Prakash|Jet Propulsion Laboratory|http://www.hcdconnect.org/profiles/ravi-prakash/|Barabanki, Uttar Pradesh, India|Agriculture
432|Overcoming the Pena:|Understanding the various challenges to food security in Nicaragua|January 10, 2013|Jeannette Rowland|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/jeannette/|San Jos de Cusmapa, Madriz, Nicaragua|Education;Agriculture
433|Social enterprise and love in New York City|Sharing the meaning of love and growth in New York City.|January 10, 2013|Nadine Rose|Columbia University School of Social Work|http://www.hcdconnect.org/profiles/nadine-rose-0/|Berkeley, CA|Community Development;Education
434|Desired Actions of Tanzanian Youth|Tanzania has high population growth with low economic activities causing unemployment in youth both in urban and rural areas. What are desired actions of youth in Tanzania for their own rights and employment opportunities creating by their government?|January 10, 2013|Jitjuta Tan Severus|Columbia University School of Social Work|http://www.hcdconnect.org/profiles/jitjuta-tan severus/|Gauteng, South Africa|Community Development;Education
435|Initial prototype testing|As part of my masters study in Industrial Design at the University of Johannesburg I am designing and developing a household farmign kit for backyard gardening in semi-urban settlements. This story describes the initial prototype testing|January 11, 2013|Kyle Brand|University of Johannesburg|http://www.hcdconnect.org/profiles/kyle-brand/|Kanana, Orkney, North West, South Africa|Gender Equity;Agriculture;Community Development
436|Between making money or changing the world which do you prefer?|Creating a Social Business Movement|January 11, 2013|Leo Duarte|Oasis Mundi|http://www.hcdconnect.org/profiles/leo-duarte/|Sao Paulo - So Paulo, Brazil|Community Development;Education
437|Abundance Perspective - Designing toys with local available resources.|Enable educators to produce learning support materials using available resouces for children attending a rural pre-school in Northern Mozambique.|January 11, 2013|Paula Dib|Trans.Forma Design|http://www.hcdconnect.org/profiles/paula-dib/|Gauteng, South Africa|Environment;Community Development;Education
438|Health workers for Zambia's health demands|Recruiting health graduates where they are needed most.|January 12, 2013|Lindsey Crumbaugh|Harvard Business School|http://www.hcdconnect.org/profiles/lindsey-crumbaugh/|Gauteng, South Africa|Education;Health
439|Presidio: Bali inter-team ideation|Co-designing with Presidio Bali teams|January 13, 2013|Dilnaz Kain|Harvard Business School|http://www.hcdconnect.org/profiles/dilnaz-kain/|San Francisco, CA|Environment;Education
440|Using the energy generated by a natural disaster to power emergency facilities and equipment in the aftermath of the disaster.|I am brainstorming ideas for using the massive amount of energy generated during a natural disaster to power emergency facilities and equipment during the aftermath of the disaster.|January 13, 2013|Cleon Stanley|Cook Medical|http://www.hcdconnect.org/profiles/cleon/|Huehuetenango, Guatemala|Energy
441|Co-creating a living library of village knowledge|Empowering local youth to become stewards of their village's culture &amp; traditions|January 13, 2013|Andre Lavergne|Masters candidate at the American University of Paris|http://www.hcdconnect.org/profiles/Andre/|Mumbai, Maharashtra, India|Community Development;Education
442|What makes CHV sells more health products than others?|In the community's health improvement program, the pattern of and issues with CHV sales and CHVs motivation for their sales activity.|January 13, 2013|Yoshitaka Tabuchi|Masters candidate at the American University of Paris|http://www.hcdconnect.org/profiles/yoshitaka-tabuchi/|Gauteng, South Africa|Health
443|Community-led enterprise development in impoverished areas in Amsterdam North|We are striving to get greater insights into the root causes of Amsterdam's social problems and how they can be overcome. Creating activities which help people improve their lives and empower entrepreneurial Amsterdammers to influence and change policy.|January 15, 2013|Rutger Bults|BoP Innovation Center|http://www.hcdconnect.org/profiles/rutger-bults/|Zonneplein, Tuindorp Oostzaan, Amsterdam, The Netherlands|Community Development;Education
444|"Enabling Independence: Redesigning ""Mobility"" for wheelchair users with disabilities"|"With a team of three others, conducted research towards a holistic redesign of the ""catheter management experience"", focusing on ease of use, cleanliness and reduction of UTI, accessibility, discreetness, and a users dignity."|January 15, 2013|Edouard Urcadez|The Design School at Arizona State University|http://www.hcdconnect.org/profiles/douard-urcades/|Berkeley, CA|Health
445|The Multiple Perspectives of Food Security and Nutrition:|Voices from the field|January 15, 2013|Jeannette Rowland|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/jeannette/|San Jos de Cusmapa, Madriz, Nicaragua|Education;Agriculture
446|Insights from Mukuru at Six O'Clock in the Morning|IDEO.orgs Carla Lopez, back in San Francisco after wrapping up our two-week Innovation Fund project with Sanergy, gives an update on the second half of the project.|January 15, 2013|Carla Lopez|IDEO.org|http://www.hcdconnect.org/profiles/carla-lopez/|Gauteng, South Africa|Water;Community Development;Health
447|Presidio: Key Takeaways From an In Context Immersion|Doing an In Context Immersion is a great way to get to know the landscape of your HCD challenge and experience it from the clients point of view. This is harder said than done!|January 16, 2013|Vanessa Roscoe|Presidio Graduate School|http://www.hcdconnect.org/profiles/vanessa-roscoe/|Kuta, Bali, Indonesia|Environment;Community Development;Agriculture
448|Creating Associations, Co-ops, and Community Businesses|In partnership with @REMA_Caribe, @Aprodefa_, @OrgSolidarias, and @FAVACA_ORG I have been working to connect small businesses and community businesses receive technical training to help them grow, learn marketing techniques, and work together for economic prosperity.|January 16, 2013|Angelina Klouthis|FAVACA|http://www.hcdconnect.org/profiles/angelina-klouthis/|Sao Paulo - So Paulo, Brazil|Community Development;Education;Agriculture
449|Ecological Blackwater System|A community in So Paulo where the houses are not connected to a sewage treatment system and usually dump their waste in unlined pit latrines or directly in the river.|January 16, 2013|Debora Leal|MyLife|http://www.hcdconnect.org/profiles/debora-leal/|Sao Paulo - So Paulo, Brazil|Water;Community Development;Environment
450|"Presidio: Permaculture, ""Pissing Matches"" and the Coconut Wire"|Our last day of field interviews teaches us important lessons on communication methods in Bali (the coconut wire), highlights the benefits of permaculture, and raises difficult questions of responsibility for land preservation.|January 16, 2013|Danielle Ginach|Presidio Graduate School|http://www.hcdconnect.org/profiles/danielle-ginach-0/|Ubud, Bali, Indonesia|Environment;Community Development;Education;Agriculture
451|From post-its to pollination to storyboarding, bringing it all together|Team Mangosteen stiches together 30+ interviews and reconnects with their brilliant Presidio Colleagues.|January 17, 2013|Stephanie Ciancio|Presidio Graduate School, International Sustainability Club|http://www.hcdconnect.org/profiles/stephanie-ciancio/|Ubud, Bali, Indonesia|Community Development;Education;Agriculture
452|Taking one step back: understanding multiple design challenges|After our first two visits to an impoverished quarter in Amsterdam North (a short ferry ride to the other side of the city), called the small world, we were full of ideas to leverage the Hub's potential and the experiences of the BoP Innovation Center with social innovations in low-income markets.|January 17, 2013|Rutger Bults|BoP Innovation Center|http://www.hcdconnect.org/profiles/rutger-bults/|Amsterdam, The Netherlands|Community Development
453|Presidio: Presenting + Sharing Our Thoughts on Preserving Balis Culture via Permaculture|On our last day, we presented our process of using the HCD Toolkit along with our key insights and recommendations to our project partners and a number of those we interviewed and met with during our time in Bali.|January 18, 2013|Ayaka Emoto|Presidio Graduate School|http://www.hcdconnect.org/profiles/Ayaka/|Ubud, Bali, Indonesia|Environment;Education;Agriculture
454|Refugee camp re-design prototype feedback workshop|We helped Diana Essex of Asylum Access facilitate a prototype feedback workshop with former Eritrean, Burmese, and Bhutanese refugees on 1/26.|January 19, 2013|Tommy Liu|Stanford University|http://www.hcdconnect.org/profiles/tommy-liu/|Palo Alto, CA|Community Development
455|Creating sustainability through masterplanning in rural communities: The Princes Foundation at Cholmondeley Estate|The Prince's Foundation is helping to craft an environmentally, socially and economically sustainable vision for the future of Cholmondeley Estate, an idyllic but struggling rural community in northwest England.|January 20, 2013|Samantha Irvine|CLEAR VILLAGE|http://www.hcdconnect.org/profiles/samantha-irvine/|United Kingdom|Environment;Community Development
456|Software for Social Entrepreneurs|Whether you want to build a new website, manage your existing partners, or prioritize your todo list, here are 10 of my favorite (mostly free) online tools to help you.|January 20, 2013|Kyle Miller|CLEAR VILLAGE|http://www.hcdconnect.org/profiles/kyle-miller/|Berkeley, CA|Environment;Gender Equity;Energy;Water;Community Development;Health;Financial Services;Education;Agriculture
457|Generating BoP insights: formulating and testing our first assumptions|The purpose of this project is to understand the current status of serving the BoP with food products in order to identify new opportunities for adding healthy food products to the local diet. First step in this endeavour is to conduct a country analysis. What information do we need to know per country to be able to answer the questions that are part of the research scope?|January 21, 2013|Rutger Bults|BoP Innovation Center|http://www.hcdconnect.org/profiles/rutger-bults/|Kenya|Agriculture;Health
458|Wish-list: Top 56 needs of the Indian farmer|Our research had left us with a myriad of insights. We had generated several frameworks and some central themes. It was critical to tell the insights that were most likely to be rabbit trails, apart from those that might lead us to relevant opportunities.|January 21, 2013|Nitin Sisodia|Sohum Innovation lab/  Biodesign|http://www.hcdconnect.org/profiles/nitin-sisodia-0/|Kareli, Madhya Pradesh, India|Agriculture
459|Increasing Profitability through Maintenance|Simple steps to triple the lifetime of village distillation units.|January 22, 2013|Ravi Prakash|Jet Propulsion Laboratory|http://www.hcdconnect.org/profiles/ravi-prakash/|Barabanki, Uttar Pradesh, India|Agriculture
460|384 Clean Team Toilets Have Arrived in Kumasi|An impact update from Kumasi, Ghana, where a container load of 384 new Clean Team toilets has just arrived in town.|January 23, 2013|Ad Min|IDEO.org|http://www.hcdconnect.org/profiles/admin/|Kumasi, Ashanti, Ghana|Water;Community Development;Health
461|A Human-Centered Designer in Two Worlds|IDEO.org Fellow MatteoSignorini has spent six years as an IDEO designer. Now, after five months on the job as an IDEO.org designer, Matteo reflects on the differences of what it means to be a designer in these two worlds.|January 23, 2013|Matteo Signorini|IDEO.org|http://www.hcdconnect.org/profiles/matteo-signorini/|Gauteng, South Africa|Water;Community Development
462|Designing and prototyping a HCD Canvas|The last couple of months Boukje and I had lot of discussions about IDEO.orgs HCD Toolkit. We asked questions on HCDconnect and on our own blog. In previous posts we discussed a lean version of the HCDToolkit and we asked ourselves what is delivering in the HCD process. Last week we closed a part of our hear phase and started creating a tool that should at least solve part of the problems we and others experienced in using the toolkit. We call this tool the HCD Canvasses which should help end-users of the HCD Toolkit with both facilitating the Human Centered Design process and keeping a better overview of the process.|January 24, 2013|Jeroen Spoelstra|Amsterdam University of Applied Sciences|http://www.hcdconnect.org/profiles/581782559/|Haarlem, The Netherlands|Environment;Gender Equity;Energy;Water;Community Development;Health;Financial Services;Education;Agriculture
463|Acceptability/awareness: openness to innovate &amp; perceived vulnerability|An interesting topic in our BoP consumer research is the so-called 'openess to innovate'; are food consumers willing to include new products in their consumption patterns and are they aware of the lack of nutrients in their diet?|January 24, 2013|Rutger Bults|BoP Innovation Center|http://www.hcdconnect.org/profiles/rutger-bults/|Ghana|Agriculture;Health
464|How can we Hear a whole city?|Learning about one area or neighborhood can be challenging, and what about a small city?|January 24, 2013|Ivan Boscariol|Design Echos|http://www.hcdconnect.org/profiles/ivan-boscariol/|Sao Paulo - So Paulo, Brazil|Water;Gender Equity;Education;Environment;Community Development
465|Designing an Institutional Framework|In this session I begin to identify patterns and themes from my key insights and move into the realm of creating frameworks.|January 24, 2013|Melissa Rohde|Stanford University|http://www.hcdconnect.org/profiles/melissa-rohde/|Palo Alto, CA|Environment;Community Development;Water;Agriculture
466|Should User-Centered Design be a process or a thinking method?|I came to a point where the basics of HCD or UCD is just a process where it helps to guide design direction in right place, but necessarily the origin lies beneath those process which I want to call User-Centered Design Thinking.|January 24, 2013|Kazumichi Mario Sakata|Concent, Inc.|http://www.hcdconnect.org/profiles/1309471945/|Surabaya, East Java, Indonesia|Education
467|Forays in Drying|There is much more art to the process of drying feedstock and/or briquettes than we had first anticipated. After some false starts, we had the chance to better define our design question and launch the design process.|January 25, 2013|Kevin Kung|Massachusetts Institute of Technology|http://www.hcdconnect.org/profiles/kevin-kung/|Gauteng, South Africa|Environment;Community Development;Energy;Health;Agriculture
468|Getting Re-Started!|As we start a new phase of user research and product development, how wil working remotely help and/or hinder us as we get to know our user a little more?|January 25, 2013|Helen Lerums|Light Up Africa|http://www.hcdconnect.org/profiles/helen-lerums-0/|Gauteng, South Africa|Environment;Community Development;Energy
469|Rain wipe umbrella rainwater removal device.|Design concepts can solve environmentalproblems and the user trouble as well as that cause real Eco friendly.|January 26, 2013|Yu-Ching Li|Nottingham Trent University|http://www.hcdconnect.org/profiles/yu-ching-li/|Seoul, South Korea|Environment;Financial Services
470|Waste process mapping|As we tried to understand the urban waste landscape in order to evaluate the applicability of our charcoal process, the waste collectors themselves became the teachers.|January 28, 2013|Kevin Kung|Massachusetts Institute of Technology|http://www.hcdconnect.org/profiles/kevin-kung/|Rumuruti, Rift Valley, Kenya|Environment;Community Development;Energy;Health
471|Bridging the education gap|A change of course for Zaya learning centers.|January 28, 2013|Kayvan Mojtahedzadeh|SFSU-DAI department|http://www.hcdconnect.org/profiles/k1mj/|San Francisco, CA|Community Development;Education
472|Establishing Impact Measurement Tool|Establishing imapct measurement tool for an organization that supports social entrereneurs in the Tohoku region in Japan|January 29, 2013|Yoshitaka Tabuchi|SFSU-DAI department|http://www.hcdconnect.org/profiles/yoshitaka-tabuchi/|Hanoi, Vietnam|Community Development
473|Practical applicability of Reverse Innovations in an impovershed neigborhood in Amsterdam|Based on our activities in Amsterdam North, we are very interested to know how we can leverage some of the social innovations that have been developed in low-income countries. Via a brainstorm session at The Hub with relevant stakeholders, we are first going to identify from a more general perspective what type of innovations we should take a closer look at.|January 29, 2013|Rutger Bults|BoP Innovation Center|http://www.hcdconnect.org/profiles/rutger-bults/|Amsterdam, The Netherlands|Community Development;Energy;Health;Financial Services
474|The Power of Local Art|When our team was doing research in Lake Atitln, Guatemala to find opportunities to mitigate the effects of Cyanobacterial blooms in the water we discovered the incredible power of local art.|January 29, 2013|Mariana Prieto|Freelance / Entrepreneur|http://www.hcdconnect.org/profiles/mariana-prieto/|Berkeley, CA|Environment;Water;Health
475|Stakeholder Frameworks in Refugee Camp Re-Design|We've gotten feedback on our prototypes from refugees and UNHCR, but need more insights from the other key stakeholders in our system: host communities and host governments.|January 29, 2013|Tommy Liu|Stanford University|http://www.hcdconnect.org/profiles/tommy-liu/|Oakland, CA|Community Development
476|Lost in Lahore - TEDPrize City2.0 Street Signage for Pakistan|We're using TEDPrize seed money to design+ implement street signs in dense &amp; urban Pakistan - starting with Lahore.|January 30, 2013|Khurram Siddiqi|National University of Computing &amp; Emerging Sciences, Pakistan|http://www.hcdconnect.org/profiles/khurram-siddiqi/|Hanoi, Vietnam|Community Development
477|Teaching HCD in Kenya (Part 1)|An IDEO.org team traveled to Kenya to teach a two-day human-centered design workshop to the Acumen East Africa Fellows. Here is Part 1 of a two-part blog series focusing on Day 1 of the workshop and the urban food security design challenge at the heart of the workshop.|January 30, 2013|sean hewens|IDEO.org|http://www.hcdconnect.org/profiles/sean/|Nairobi, Kenya|Agriculture
478|Lessons from the field|Months of preparation and research/design have culminated in six weeks of intense fieldwork. Throughout this experience, we learned as much from our community partners as from ourselves.|January 30, 2013|Kevin Kung|Massachusetts Institute of Technology|http://www.hcdconnect.org/profiles/kevin-kung/|Rumuruti, Rift Valley, Kenya|Environment;Community Development;Energy;Agriculture
479|The Final Reflection|Looking back at the HCD process and our microgrant journey; lessons learned and questions to think about moving forward.|January 31, 2013|Jeannette Rowland|Fabretto Children's Foundation|http://www.hcdconnect.org/profiles/jeannette/|San Jos de Cusmapa, Madriz, Nicaragua|Education;Agriculture
480|Middle-man Affair|When we started out on IDEO funded Human Centered Design research, our aim was to understand how to convert the M-Farm Selling Together model from a manual process to an automatic one, having the buyers in mind as users of the M-Farm platform.|January 31, 2013|Linda Kwamboka|MFarm Limited|http://www.hcdconnect.org/profiles/linda-kwamboka/|Gauteng, South Africa|Agriculture
481|How the Heck do you Teach Synthesis? (Teaching HCD in Kenya Part 2)|How do you teach the human-centered design synthesis process in two hours in the workshop setting? IDEO.org's Sean Hewens has some ideas in Part 2 of his two-part blog post about teaching a two-day HCD workshop to the Acumen East Africa Fellows.|January 31, 2013|sean hewens|IDEO.org|http://www.hcdconnect.org/profiles/sean/|Nairobi, Kenya|Agriculture
482|HMW: Leverage the HCD platform to enhance knowledge transfer within the HCD community?|Our first brainstorm session!|January 31, 2013|Melissa Rohde|Stanford University|http://www.hcdconnect.org/profiles/melissa-rohde/|Costa Mesa, CA|Community Development
483|Iterating Forward|With our platform nearing launch, we reflect on our initial design challenge and learnings through the HCD process.|January 31, 2013|Michael Kuntz|Stanford University|http://www.hcdconnect.org/profiles/529016931/|Sao Paulo - So Paulo, Brazil|Environment;Community Development;Agriculture
484|Kicking Off with the Rockefeller Foundation|John Won and his IDEO.org team kick off a new project with the Rockefeller Foundation focusing on long-term unemployment and the youth employment skills gap in the United States.|January 31, 2013|John Won|IDEO.org|http://www.hcdconnect.org/profiles/john-won/|Cleveland, OH|Community Development;Education
485|SERICULTURE:  A model for maximizing value generation for farmers through unconventional crops|SericultureorSilk farmingpresents a potential high value yielding alternative for small and marginal farmers, whose scale or lack of it makes farming of conventional crops unviable.|January 31, 2013|Hitesh Ahuja|IDEO.org|http://www.hcdconnect.org/profiles/hitesh-ahuja-0/|Kareli, Madhya Pradesh, India|Gender Equity;Agriculture;Community Development
